,cluster 0,cluster 1,cluster 2,cluster 3
0,needing,doc,quarter,armenia
1,decreased,program,mid,roa
2,approval,programs,fourth,elaboration
3,textbooks,secondary,school,upbringing
4,attachment,expansion,field,cadres
5,acts,organization,tv,attestation
6,loaded,republican,performances,diaspora
7,imperfect,military,children,armenian
8,suffered,boarding,graduate,pedagogical
9,destroyed,formation,pre,utilization
10,decline,preschool,radio,normative
11,lack,republic,elementary,rationalization
12,incomplete,laws,turning,exemplary
13,definition,ph,contest,schooling
14,grades,broadcasting,typical,yearly
